source_center_raw,destination_center_raw,route_type,time_of_day,median_delay_ratio,p90_delay_ratio,total_trips
IND000000AAL,IND411033AAA,Carting,Afternoon,2.64,4.505833333333334,7
IND000000AAL,IND411033AAA,Carting,Evening,2.416666666666667,3.3916666666666666,4
IND000000AAL,IND411033AAA,Carting,Morning,3.3846153846153846,3.3846153846153846,1
IND000000AAL,IND411033AAA,Carting,Night,2.0182608695652173,2.0676521739130433,2
IND000000AAQ,IND700028AAB,Carting,Night,6.071428571428571,7.1571428571428575,2
IND000000AAS,IND783370AAC,FTL,Morning,1.7666666666666666,2.6866666666666665,5
IND000000AAS,IND783370AAC,FTL,Night,2.3703703703703702,2.5274074074074075,3
IND000000AAZ,IND444203AAA,FTL,Evening,6.020833333333333,6.020833333333333,1
IND000000AAZ,IND444303AAA,FTL,Evening,4.0,4.0,1
IND000000ABA,IND683565AAA,Carting,Afternoon,0.9047619047619048,0.9047619047619048,1
IND000000ABA,IND683565AAA,Carting,Evening,1.0952380952380953,1.5728937728937729,3
IND000000ABD,IND562132AAA,FTL,Afternoon,1.6729595977161407,2.035135135135135,6
IND000000ABD,IND562132AAA,FTL,Evening,1.7324324324324323,1.8232432432432433,2
IND000000ABG,IND501359AAF,Carting,Afternoon,7.212301587301587,9.474074074074075,8
IND000000ACA,IND140406AAA,FTL,Night,1.837837837837838,1.837837837837838,1
IND000000ACA,IND142001AAB,FTL,Afternoon,1.6503172924378635,1.973684210526316,8
IND000000ACA,IND142401AAA,FTL,Night,1.8421052631578947,4.172413793103448,11
IND000000ACA,IND143001AAA,FTL,Afternoon,1.7027027027027026,1.7027027027027026,1
IND000000ACA,IND144001AAB,FTL,Afternoon,1.6041666666666667,2.085557299843014,15
IND000000ACA,IND144001AAB,FTL,Evening,1.6122448979591837,1.6122448979591837,1
IND000000ACA,IND144514AAA,FTL,Night,1.8095238095238095,2.8952380952380956,9
IND000000ACA,IND147301AAA,FTL,Night,1.7037037037037037,2.8704704704704707,3
IND000000ACA,IND152026AAA,FTL,Afternoon,1.5299145299145298,1.5299145299145298,1
IND000000ACA,IND160002AAC,Carting,Night,1.8309859154929577,1.8309859154929577,1
IND000000ACA,IND160002AAC,FTL,Afternoon,2.1774193548387095,2.726169922762381,23
IND000000ACA,IND160002AAC,FTL,Evening,1.9838709677419355,2.3521931589537224,9
IND000000ACA,IND160002AAC,FTL,Morning,1.9919354838709677,2.36815668202765,22
IND000000ACB,IND000000AEL,Carting,Afternoon,1.9048859126984126,1.9684771825396825,2
IND000000ACB,IND000000AEL,Carting,Evening,1.9672131147540983,2.1998942358540456,3
IND000000ACB,IND000000AEL,Carting,Night,1.5952380952380953,3.802611367127496,14
IND000000ACB,IND110024AAA,Carting,Afternoon,2.014705882352941,2.4150623885918003,3
IND000000ACB,IND110030AAD,Carting,Afternoon,1.58,2.3883921568627446,19
IND000000ACB,IND110030AAD,Carting,Evening,1.8076923076923077,2.0735384615384618,3
IND000000ACB,IND110030AAD,Carting,Night,1.7254901960784315,3.2989441930618404,3
IND000000ACB,IND110037AAK,Carting,Evening,2.013157894736842,3.3929587482219072,20
IND000000ACB,IND110037AAK,Carting,Night,1.6667852062588904,1.990688259109312,14
IND000000ACB,IND110043AAA,Carting,Afternoon,1.6756756756756757,2.581081081081081,12
IND000000ACB,IND110043AAA,Carting,Evening,1.725,1.725,1
IND000000ACB,IND110043AAA,Carting,Night,2.3846153846153846,3.1025641025641026,2
IND000000ACB,IND110043AAC,Carting,Afternoon,2.6636363636363636,3.209090909090909,2
IND000000ACB,IND110043AAC,Carting,Night,1.8655844155844157,1.9454545454545455,4
IND000000ACB,IND110052AAA,Carting,Evening,1.4782608695652173,1.4782608695652173,1
IND000000ACB,IND110064AAA,Carting,Afternoon,1.6551724137931034,2.43062536528346,17
IND000000ACB,IND110064AAA,Carting,Evening,1.25,1.5344827586206897,11
IND000000ACB,IND110064AAA,Carting,Night,2.2878100423472474,2.5035087719298246,12
IND000000ACB,IND110085AAB,Carting,Afternoon,1.5783936651583712,1.944640605296343,16
IND000000ACB,IND110085AAB,Carting,Evening,1.6201600692191218,1.7568678347393467,2
IND000000ACB,IND110085AAB,Carting,Night,2.3043478260869565,2.6148494983277595,4
IND000000ACB,IND110092AAC,Carting,Afternoon,1.6575342465753424,1.6575342465753424,1
IND000000ACB,IND110092AAC,Carting,Evening,1.527027027027027,1.7216216216216216,2
IND000000ACB,IND110095AAB,Carting,Evening,1.0980006835269993,1.3087792207792208,12
IND000000ACB,IND110095AAB,Carting,Night,3.2658227848101267,4.201913875598086,14
IND000000ACB,IND121002AAB,Carting,Afternoon,2.5384615384615383,3.024615384615385,13
IND000000ACB,IND121002AAB,Carting,Evening,1.6323529411764706,1.835820895522388,21
IND000000ACB,IND121002AAB,Carting,Morning,2.353846153846154,2.353846153846154,1
IND000000ACB,IND121002AAB,Carting,Night,2.0,3.313846153846154,13
IND000000ACB,IND121004AAB,Carting,Evening,1.7121212121212122,1.8017992424242424,13
IND000000ACB,IND121004AAB,Carting,Night,2.0757575757575757,2.303030303030303,11
IND000000ACB,IND122001AAA,Carting,Afternoon,2.1,3.2657142857142833,10
IND000000ACB,IND122001AAA,Carting,Evening,1.3235294117647058,1.4075630252100841,3
IND000000ACB,IND122001AAA,Carting,Morning,1.9714285714285715,2.3707563025210083,3
IND000000ACB,IND122001AAA,Carting,Night,1.6470588235294117,2.299547511312217,27
IND000000ACB,IND122015AAC,Carting,Morning,2.1470588235294117,2.1470588235294117,1
IND000000ACB,IND122015AAC,Carting,Night,2.742857142857143,2.742857142857143,1
IND000000ACB,IND124103AAA,FTL,Evening,1.9565217391304348,2.4489795918367347,11
IND000000ACB,IND124112AAA,FTL,Morning,2.8666666666666667,2.8666666666666667,1
IND000000ACB,IND124112AAA,FTL,Night,2.17341647116928,2.6487857919536064,4
IND000000ACB,IND125001AAA,FTL,Afternoon,1.7827342047930284,1.8795098039215685,2
IND000000ACB,IND125001AAA,FTL,Morning,1.944112769485904,2.7723880597014925,6
IND000000ACB,IND125001AAA,FTL,Night,2.296559682267067,2.4669117647058822,6
IND000000ACB,IND125005AAA,FTL,Afternoon,1.9411764705882353,2.142309368191721,3
IND000000ACB,IND125033AAA,FTL,Night,2.2416666666666667,2.2416666666666667,1
IND000000ACB,IND127021AAA,FTL,Evening,1.926042604260426,2.0094509450945095,2
IND000000ACB,IND131028AAB,Carting,Afternoon,1.8214285714285714,2.5509191176470587,12
IND000000ACB,IND131028AAB,Carting,Evening,2.3958333333333335,4.431958762886598,10
IND000000ACB,IND131028AAB,Carting,Morning,1.9183673469387754,2.4233260439446007,18
IND000000ACB,IND131028AAB,Carting,Night,2.0736842105263156,2.727188194865575,39
IND000000ACB,IND160002AAC,FTL,Afternoon,2.781990521327014,3.7775248648287834,4
IND000000ACB,IND160002AAC,FTL,Evening,2.1396675651392636,2.3956384691048913,12
IND000000ACB,IND160002AAC,FTL,Morning,2.263608666215301,3.814144236787983,14
IND000000ACB,IND160002AAC,FTL,Night,2.194312796208531,3.2137375237512837,18
IND000000ACB,IND201001AAC,Carting,Afternoon,1.978021978021978,1.978021978021978,1
IND000000ACB,IND201001AAC,Carting,Evening,1.8516483516483517,1.8912087912087912,2
IND000000ACB,IND201001AAC,Carting,Night,1.8461538461538463,1.8461538461538463,1
IND000000ACB,IND201007AAA,Carting,Afternoon,1.7148302148302148,1.8456687456687455,2
IND000000ACB,IND201007AAA,Carting,Evening,1.209501025290499,1.2524265208475733,2
IND000000ACB,IND201007AAA,Carting,Night,1.7221112221112223,2.4475524475524475,4
IND000000ACB,IND201301AAF,Carting,Afternoon,1.6730769230769231,1.8833333333333333,2
IND000000ACB,IND201301AAF,Carting,Evening,1.1891613924050635,1.250490506329114,2
IND000000ACB,IND201301AAF,Carting,Night,2.2125,2.526710526315789,3
IND000000ACB,IND201301AAM,Carting,Afternoon,3.3902439024390243,3.95609756097561,7
IND000000ACB,IND201301AAM,Carting,Evening,2.5088183421516757,2.7094444444444443,12
IND000000ACB,IND201301AAM,Carting,Night,2.5632130020315675,3.182981715893108,10
IND000000ACB,IND209304AAA,FTL,Evening,2.24375,2.3738317757009346,5
IND000000ACB,IND209304AAA,FTL,Night,2.4625000000000004,2.5140624999999996,6
IND000000ACB,IND282002AAD,FTL,Morning,1.9047606268784887,2.223433503836317,8
IND000000ACB,IND301001AAB,FTL,Afternoon,1.7142857142857144,2.5633062589584332,4
IND000000ACB,IND301001AAB,FTL,Morning,1.6382978723404256,1.6382978723404256,1
IND000000ACB,IND301705AAA,FTL,Evening,3.75,3.75,1
IND000000ACB,IND302014AAA,FTL,Afternoon,1.906512418949084,2.0712433121921836,2
IND000000ACB,IND302014AAA,FTL,Morning,1.8938217890706577,2.0047619047619047,10
IND000000ACB,IND302014AAA,FTL,Night,1.8095238095238095,2.1149700598802395,13
IND000000ACB,IND302022AAD,FTL,Afternoon,1.78698224852071,1.78698224852071,1
IND000000ACB,IND302022AAD,FTL,Evening,1.688622754491018,1.7988023952095809,12
IND000000ACB,IND328001AAA,FTL,Morning,1.736040609137056,1.8744808491001386,3
IND000000ACB,IND382430AAB,FTL,Afternoon,1.7876386687797148,1.7876386687797148,1
IND000000ACB,IND382430AAB,FTL,Evening,1.8900316455696202,2.0110759493670884,10
IND000000ACB,IND382430AAB,FTL,Night,1.860759493670886,1.860759493670886,1
IND000000ACB,IND390022AAA,FTL,Evening,1.7939580802890156,2.015107913669065,6
IND000000ACB,IND390022AAA,FTL,Night,1.7525179856115107,1.7766906474820146,3
IND000000ACB,IND411033AAA,FTL,Evening,1.7648809523809523,1.8492299463558135,19
IND000000ACB,IND421302AAG,FTL,Afternoon,1.9086188992731048,1.9402286902286903,8
IND000000ACB,IND421302AAG,FTL,Evening,1.904465212876428,1.904465212876428,1
IND000000ACB,IND421302AAG,FTL,Morning,1.9709198237695646,2.216864225298708,16
IND000000ACB,IND462022AAA,FTL,Evening,1.7023809523809523,1.7023809523809523,1
IND000000ACB,IND462022AAA,FTL,Night,1.850085178875639,1.901528013582343,11
IND000000ACB,IND474003AAA,FTL,Morning,4.475174978127734,6.299759405074366,2
IND000000ACB,IND501359AAE,FTL,Afternoon,2.085763293310463,2.141444504155655,3
IND000000ACB,IND501359AAE,FTL,Evening,1.9128755364806866,2.3014944180682475,18
IND000000ACB,IND501359AAE,FTL,Night,1.9186034387556097,2.0375290601373686,4
IND000000ACB,IND521225AAB,FTL,Night,1.9469992205767732,2.0331484685731938,10
IND000000ACB,IND562132AAA,FTL,Afternoon,2.0847457627118646,2.0847457627118646,1
IND000000ACB,IND562132AAA,FTL,Evening,1.8712527252906976,1.9508660368217055,32
IND000000ACB,IND562132AAA,FTL,Morning,1.824629271437782,2.0321045304400984,17
IND000000ACB,IND562132AAA,FTL,Night,1.8205293737895416,1.8205293737895416,1
IND000000ACB,IND600056AAB,FTL,Morning,1.8577639751552795,2.030183098808625,7
IND000000ACB,IND600056AAB,FTL,Night,1.8630764426246573,2.5385912071897017,4
IND000000ACB,IND712311AAA,FTL,Afternoon,2.1934055118110236,2.3545946275520873,12
IND000000ACB,IND712311AAA,FTL,Evening,2.0256410256410255,2.258013765978368,13
IND000000ACB,IND712311AAA,FTL,Night,1.8651574803149606,2.3733990147783253,11
IND000000ACB,IND751002AAB,FTL,Night,2.0403087478559176,2.101113967437875,11
IND000000ACB,IND821115AAB,FTL,Night,2.0510835913312695,2.2096410678482736,13
IND000000ACB,IND834002AAB,FTL,Night,1.8895417156286722,2.081551116333725,13
IND000000ACB,IND842001AAA,FTL,Morning,2.0217391304347827,2.079485536703193,7
IND000000ACB,IND842001AAA,FTL,Night,2.04400493598982,2.1633649932157395,8
IND000000ACK,IND501359AAF,Carting,Afternoon,3.1500000000000004,4.429285714285714,24
IND000000ACN,IND501359AAF,Carting,Afternoon,2.3888888888888893,7.055555555555555,6
IND000000ACN,IND501359AAF,Carting,Evening,3.1666666666666665,4.777777777777778,5
IND000000ACT,IND000000ACB,Carting,Afternoon,4.073170731707317,4.073170731707317,1
IND000000ACT,IND000000ACB,Carting,Evening,1.54125138427464,2.0718346253229973,6
IND000000ACT,IND000000ACB,Carting,Morning,1.8786324786324786,2.898184912081679,6
