source_center_raw,destination_center_raw,route_type,time_of_day,median_delay_ratio,p90_delay_ratio,total_trips,recommended_action
IND208012AAA,IND209304AAA,Carting,Night,36.666666666666664,43.87058823529412,9,Switch to FTL
IND792121AAB,IND786181AAC,Carting,Morning,33.58620689655172,36.3967816091954,7,Switch to FTL
IND212402AAA,IND211002AAB,Carting,Night,29.25,30.756756756756758,11,Switch to FTL
IND416606AAA,IND416510AAA,Carting,Night,27.044444444444444,27.72057971014493,7,Switch to FTL
IND802212AAA,IND821115AAB,FTL,Night,23.738095238095237,25.040601503759397,7,Hub upgrade
IND425405AAA,IND424006AAA,FTL,Night,21.26086956521739,22.6,11,Hub upgrade
IND209801AAA,IND209304AAA,Carting,Night,20.757575757575758,26.16875,5,Switch to FTL
IND208017AAA,IND209304AAA,Carting,Night,16.227272727272727,19.683333333333334,5,Switch to FTL
IND722151AAA,IND723130AAA,FTL,Morning,15.745168067226892,16.524223602484472,6,Hub upgrade
IND743270AAA,IND712311AAA,FTL,Night,15.35135135135135,15.758904109589041,5,Hub upgrade
IND134109AAA,IND160002AAC,Carting,Morning,13.685714285714285,15.216216216216216,11,Switch to FTL
IND110064AAA,IND000000ACB,Carting,Morning,12.314814814814815,13.283744557329463,17,Switch to FTL
IND844505AAB,IND842001AAA,FTL,Night,12.139615384615386,15.067307692307693,12,Hub upgrade
IND828111AAA,IND826004AAA,Carting,Night,11.71590909090909,24.30363636363636,8,Switch to FTL
IND847223AAA,IND842001AAA,FTL,Evening,10.538461538461538,10.84423076923077,9,Hub upgrade
IND395001AAA,IND395023AAD,Carting,Night,10.285714285714286,11.449523809523809,9,Switch to FTL
IND751002AAB,IND754103AAA,FTL,Afternoon,10.121951219512194,13.267247386759582,7,Hub upgrade
IND501401AAC,IND500010AAA,Carting,Night,10.076923076923077,12.314285714285715,5,Switch to FTL
IND395009AAA,IND395023AAD,Carting,Night,9.722222222222221,10.1625,12,Switch to FTL
IND847404AAB,IND842001AAA,FTL,Evening,8.948051948051948,11.444736842105264,5,Hub upgrade
