iter	RMSE
0	573.2761985
1	546.8331994
2	521.5130702
3	497.9513182
4	475.1428121
5	453.388211
6	432.7012365
7	413.474891
8	394.9448921
9	377.5811326
10	360.9741797
11	345.2586054
12	330.3713848
13	316.2752002
14	302.971709
15	290.3910474
16	278.6057894
17	267.3235677
18	256.6183728
19	246.5761854
20	237.189913
21	228.3637775
22	219.921208
23	211.9614515
24	204.4141873
25	197.2767387
26	190.6719156
27	184.3934942
28	178.4309132
29	172.8542716
30	167.5443798
31	162.6011458
32	157.9340913
33	153.6525341
34	149.5819552
35	145.8137562
36	142.2593166
37	138.8953689
38	135.8130553
39	132.9576321
40	130.2036368
41	127.6390863
42	125.316397
43	123.1322761
44	121.1098262
45	119.0987084
46	117.3020631
47	115.5723944
48	114.0226228
49	112.5737542
50	111.2019883
51	109.8826555
52	108.6869741
53	107.6058937
54	106.5791721
55	105.5071896
56	104.5958447
57	103.7479278
58	102.9441773
59	102.1584477
60	101.4170544
61	100.7765436
62	100.1161643
63	99.5484123
64	98.86623613
65	98.27661898
66	97.74886349
67	97.22915855
68	96.77739486
69	96.26613598
70	95.84347348
71	95.42778943
72	94.98124456
73	94.67260114
74	94.35745391
75	93.87499089
76	93.55962521
77	92.98346747
78	92.46051771
79	92.18549654
80	91.94353022
81	91.66022389
82	91.41421918
83	91.0620906
84	90.76523419
85	90.49185294
86	90.24883855
87	90.03694395
88	89.81445099
89	89.54910633
90	89.39041389
91	89.25488467
92	88.84126102
93	88.5985169
94	88.43965664
95	88.27761285
96	88.09634549
97	87.49625587
98	86.98269598
99	86.86038176
100	86.6976918
101	86.56697356
102	86.34191962
103	86.18311408
104	86.04591988
105	85.74264421
106	85.35576882
107	84.99370127
108	84.51273247
109	84.34401387
110	84.23711256
111	84.14747643
112	83.86861829
113	83.75365508
114	83.66006266
115	82.8930617
116	82.77274393
117	82.68803526
118	82.28622387
119	82.11167915
120	81.97805107
121	81.82569862
122	81.68175867
123	81.59349248
124	81.49605253
125	81.36289465
126	81.02284334
127	80.88185479
128	80.70717623
129	80.58416257
130	80.50357497
131	80.20721711
132	80.12396534
133	80.01784396
134	79.65010602
135	79.48626919
136	79.37800696
137	79.31107558
138	79.21771367
139	79.1638587
140	79.0704635
141	78.90709282
142	78.81822242
143	78.5203955
144	78.20897805
145	77.86140504
146	77.7165985
147	77.43652068
148	77.33853531
149	77.25242307
150	77.17780931
151	77.08056544
152	77.01360883
153	76.94244655
154	76.87494932
155	76.7350114
156	76.5169593
157	76.46422926
158	76.35881158
159	76.24782661
160	76.17077518
161	76.09910203
162	75.80920617
163	75.5995706
164	75.08680031
165	74.9866314
166	74.89593293
167	74.38493517
168	74.35119666
169	74.15457023
170	74.08570762
171	74.03307178
172	73.97993914
173	73.88834789
174	73.82210029
175	73.65097448
176	73.59990541
177	73.50320261
178	73.19258925
179	72.91005718
180	72.37975665
181	71.90817164
182	71.62813371
183	71.52705228
184	71.42042345
185	71.34943007
186	71.25816537
187	71.1581244
188	70.81167277
189	70.69411674
190	70.65597414
191	70.57741456
192	70.48693555
193	70.44327362
194	70.00912451
195	69.92444167
196	69.71533091
197	69.64818713
198	69.58330894
199	69.50383529
200	69.46043357
201	69.41237814
202	69.33908566
203	69.13165501
204	69.06650249
205	69.02169032
206	68.97149409
207	68.76259103
208	68.64388645
209	68.53839981
210	68.15181994
211	68.10761857
212	68.03890223
213	67.91613819
214	67.87641545
215	67.84221264
216	67.78827951
217	67.58623808
218	67.49407164
219	67.35740722
220	67.33784406
221	67.24188993
222	67.15337769
223	67.07998159
224	66.95964657
225	66.65451707
226	66.59872879
227	66.50595428
228	66.24554223
229	65.95034926
230	65.83500598
231	65.8000359
232	65.74938948
233	65.67990922
234	65.65685321
235	65.57468833
236	65.32276082
237	65.24009206
238	65.05168337
239	65.01281274
240	64.85831917
241	64.67861286
242	64.63783746
243	64.59090312
244	64.48590293
245	64.43362011
246	64.40407251
247	64.24560145
248	64.17865362
249	64.11519337
