iter	Passed	Remaining
0	16	4171
1	36	4527
2	53	4373
3	71	4384
4	88	4355
5	105	4280
6	121	4220
7	138	4176
8	156	4177
9	173	4152
10	189	4115
11	204	4061
12	219	4010
13	235	3969
14	250	3929
15	265	3878
16	281	3855
17	296	3824
18	312	3793
19	327	3761
20	342	3737
21	357	3709
22	373	3683
23	388	3654
24	403	3630
25	420	3623
26	439	3631
27	462	3669
28	482	3677
29	500	3670
30	520	3674
31	538	3668
32	557	3665
33	575	3655
34	595	3657
35	613	3649
36	634	3654
37	652	3640
38	669	3624
39	686	3606
40	705	3596
41	725	3594
42	743	3580
43	759	3557
44	777	3541
45	794	3523
46	814	3517
47	831	3499
48	848	3482
49	865	3462
50	884	3450
51	903	3440
52	920	3422
53	938	3406
54	955	3388
55	977	3385
56	996	3373
57	1015	3362
58	1033	3346
59	1052	3331
60	1071	3319
61	1089	3303
62	1106	3283
63	1123	3266
64	1145	3260
65	1164	3246
66	1183	3232
67	1198	3206
68	1215	3188
69	1230	3165
70	1249	3150
71	1265	3128
72	1285	3116
73	1304	3103
74	1321	3084
75	1353	3098
76	1387	3117
77	1403	3095
78	1427	3090
79	1443	3066
80	1457	3041
81	1474	3020
82	1489	2996
83	1504	2973
84	1519	2949
85	1536	2930
86	1553	2909
87	1567	2886
88	1583	2863
89	1599	2842
90	1615	2822
91	1629	2799
92	1645	2777
93	1660	2755
94	1677	2736
95	1692	2715
96	1709	2696
97	1725	2675
98	1741	2655
99	1759	2638
100	1778	2623
101	1796	2606
102	1814	2589
103	1831	2571
104	1848	2552
105	1865	2534
106	1881	2514
107	1898	2495
108	1913	2475
109	1930	2457
110	1947	2438
111	1963	2419
112	1980	2400
113	1997	2383
114	2016	2367
115	2032	2348
116	2049	2329
117	2065	2310
118	2084	2294
119	2101	2276
120	2116	2256
121	2133	2238
122	2150	2220
123	2168	2203
124	2187	2187
125	2204	2169
126	2221	2151
127	2237	2132
128	2252	2113
129	2270	2095
130	2287	2077
131	2305	2060
132	2323	2043
133	2340	2026
134	2358	2009
135	2376	1992
136	2394	1974
137	2412	1957
138	2428	1938
139	2443	1920
140	2459	1901
141	2475	1883
142	2491	1864
143	2508	1846
144	2526	1829
145	2543	1811
146	2561	1794
147	2580	1778
148	2599	1762
149	2629	1752
150	2650	1737
151	2671	1722
152	2688	1704
153	2706	1687
154	2723	1669
155	2742	1652
156	2760	1635
157	2777	1617
158	2795	1599
159	2814	1583
160	2835	1567
161	2865	1556
162	2891	1543
163	2914	1528
164	2940	1514
165	2966	1501
166	2991	1486
167	3016	1472
168	3039	1456
169	3061	1440
170	3081	1423
171	3102	1406
172	3124	1390
173	3144	1373
174	3166	1357
175	3188	1340
176	3211	1324
177	3232	1307
178	3251	1289
179	3266	1270
180	3285	1252
181	3304	1234
182	3321	1216
183	3340	1198
184	3356	1179
185	3375	1161
186	3391	1142
187	3408	1124
188	3427	1106
189	3446	1088
190	3465	1070
191	3484	1052
192	3503	1034
193	3522	1016
194	3544	999
195	3564	981
196	3584	964
197	3605	946
198	3627	929
199	3647	911
200	3665	893
201	3686	876
202	3708	858
203	3730	841
204	3749	823
205	3767	804
206	3788	786
207	3810	769
208	3826	750
209	3845	732
210	3863	714
211	3881	695
212	3904	678
213	3929	661
214	3951	643
215	3973	625
216	3997	607
217	4019	590
218	4045	572
219	4065	554
220	4086	536
221	4108	518
222	4130	500
223	4155	482
224	4178	464
225	4200	446
226	4220	427
227	4241	409
228	4261	390
229	4282	372
230	4303	353
231	4323	335
232	4352	317
233	4374	299
234	4397	280
235	4419	262
236	4443	243
237	4465	225
238	4487	206
239	4507	187
240	4526	169
241	4549	150
242	4569	131
243	4587	112
244	4609	94
245	4632	75
246	4653	56
247	4673	37
248	4693	18
249	4715	0
